"company";"location";"industry";"total_laid_off";"percentage_laid_off";"date";"stage";"country";"funds_raised_millions"
"#Paid";"Toronto";"Marketing";19;"0.17";"1/27/2023";"Series B";"Canada";21
"80 Acres Farms";"Cincinnati";"Food";0;"0.1";"1/18/2023";"Unknown";"United States";275
"8x8";"SF Bay Area";"Support";155;"0.07";"1/18/2023";"Post-IPO";"United States";253
"Addepar";"SF Bay Area";"Finance";20;"0.03";"1/18/2023";"Series F";"United States";491
"Adobe";"SF Bay Area";"Marketing";100;"";"12/6/2022";"Post-IPO";"United States";2
"Affirm";"SF Bay Area";"Finance";500;"0.19";"2/8/2023";"Post-IPO";"United States";1500
"Airbnb";"SF Bay Area";"";30;"";"3/3/2023";"Post-IPO";"United States";6400
"Airtable";"SF Bay Area";"Product";254;"0.2";"12/8/2022";"Series F";"United States";1400
"Aiven";"Helsinki";"Infrastructure";0;"0.2";"1/18/2023";"Series D";"Finland";420
"Akili Labs";"Baltimore";"Healthcare";46;"0.3";"1/12/2023";"Seed";"United States";0
"Alerzo";"Ibadan";"Retail";400;"";"3/6/2023";"Series B";"Nigeria";16
"Alice";"Sao Paulo";"Healthcare";113;"0.16";"12/9/2022";"Series C";"Brazil";174
"Amazon";"Seattle";"Retail";8000;"0.02";"1/4/2023";"Post-IPO";"United States";108
"Ambev Tech";"Blumenau";"Food";50;"";"3/2/2023";"Acquired";"Brazil";0
"Amdocs";"St. Louis";"Support";700;"0.03";"1/2/2023";"Post-IPO";"United States";0
"American Robotics";"Boston";"Other";50;"0.65";"1/17/2023";"Acquired";"United States";92
"Amount";"Chicago";"Finance";130;"0.25";"2/27/2023";"Unknown";"United States";283
"Apollo";"SF Bay Area";"Product";0;"0.15";"12/15/2022";"Series D";"United States";183
"Appgate";"Miami";"Security";34;"0.08";"2/1/2023";"Post-IPO";"United States";0
"Arch Oncology";"Brisbane";"Healthcare";0;"1";"1/13/2023";"Series C";"United States";155
"Armis";"SF Bay Area";"Security";25;"0.04";"12/8/2022";"Private Equity";"United States";537
"Arrival";"London";"Transportation";800;"0.5";"1/30/2023";"Post-IPO";"United Kingdom";629
"Articulate";"New York City";"Education";38;"";"2/2/2023";"Series A";"United States";1500
"Astronomer";"Cincinnati";"Data";76;"0.2";"1/4/2023";"Series C";"United States";282
